Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1uF,
"C2, C4",0805,2,1uF,
C3,0603,1,1.0uF,
C5,0805,1,50uF,
C6,0805,1,8nF,
D1,0603,1,RED,
D2,0603,1,D_Small_Filled,
J1,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,Bat_Connector,
"R1, R4, R5, R7, R8",0603,5,4.7k,
"R2, R3",0603,2,2.2k,
R6,0603,1,4M,
R9,0603,1,10M,
U1,xiap esp32c3_PCB_ ADDED BATTERY PADS,1,MOUDLE-SEEEDUINO-XIAO-ESP32C3,
U2,PSON80P560X330X165-14N,1,MAX30101EFD,
U3,SOT-23-5,1,1.8V,
U5,VSSOP-10_3x3mm_P0.5mm,1,DRV2605LDGS,
U6,VLV101040A,1,~,
