Designator,Mid X,Mid Y,Rotation,Layer
C1,94.0,-64.6375,270.0,bottom
C2,100.9125,-65.85,180.0,bottom
C3,103.8,-65.4875,270.0,bottom
C4,107.9875,-69.4,0.0,bottom
C5,107.9875,-67.35,0.0,bottom
C6,96.0375,-55.7,180.0,bottom
D1,112.175,-57.175,90.0,top
D2,100.025,-55.9,180.0,bottom
J1,105.9,-53.4,90.0,top
R1,102.3125,-68.8,180.0,bottom
R2,88.9,-55.7875,90.0,bottom
R3,86.4875,-54.8,180.0,bottom
R4,100.8125,-63.7,0.0,bottom
R5,105.3,-65.4875,270.0,bottom
R6,92.1,-55.8125,270.0,bottom
R7,105.3,-68.8125,90.0,bottom
R8,86.0875,-66.4,0.0,bottom
R9,90.5,-55.8125,90.0,bottom
U1,102.5593,-69.576,90.0,top
U2,96.8,-59.8,0.0,bottom
U3,96.8625,-64.7,0.0,bottom
U5,109.35,-64.5,180.0,bottom
U6,103.0,-59.65,270.0,top
